Serial,Lon,Lat,Code
PI040297AD5I205932,-3.814,56.037,3h3taytx
PI040297AD5I208796,-3.267,56.575,zkwh4mnr
PI040297AD5I207081,-3.267,56.575,f479c3ag
PI040298AD5J214363,-6.75,52.79,g2gaa8pw
PI040298AD5J214405,-6.75,52.79,a8ct6xwb
PI040298AD5I209485,-7.943,54.985,02w21htj
PI040298AD5I209664,-7.968,54.964,2sejaryz
PI040298AD5I206275,-7.969,54.964,jnx9zpyj
PI040298AD5I206707,-7.943,54.986,1sqxrrce
PI040298AD5I208454,-7.942,54.985,rqvd8kzt
PI040298AD5I207253,-7.943,54.984,hgzhh45e
PI040298AD5I206463,-7.943,54.985,8zecavwm
PI040298AD5I211674,-7.943,54.985,pyy1c893
PI040298AD5J214698,-7.969,54.964,qasj2zbq
PI040298AD5I208432,-7.968,54.964,rnq96d5g
PI040298AD5I208077,-7.968,54.964,e71cqb6z
PI040298AD5I206180,-7.944,54.986,sepxwjb1
PI040298AD5I205971,-7.943,54.984,sdtx7zat
PI040298AD5I208782,-7.943,54.984,0q0qsxb6
PI040298AD5I213669,-7.969,54.964,f070s9sg
PI040298AD5I213792,-7.942,54.984,x643re48
PI040298AD5I213089,-7.969,54.964,qmws40ma
PI040298AD5J215096,-7.969,54.964,7cp16gma
PI040298AD5I209025,-7.969,54.964,g440gm1g
PI040298AD5I208461,-7.943,54.986,y7cqs42n
PI040298AD5I213679,-7.969,54.964,arrbgqcb
PI040298AD5I208024,-7.942,54.984,dhyx8fdn
PI040298AD5I209023,-7.943,54.986,j2fhxhvd
PI040298AD5J214201,-7.969,54.964,g5cbqqbk
PI040298AD5J214575,-7.968,54.964,c9frk6ve
PI040298AD5J214930,-7.924,54.979,cjp6a2q6
PI040298AD5I210731,-7.968,54.964,y1c0zshh
PI040298AD5J214162,-7.968,54.964,pwcsfvaq
PI040298AD5J214202,-7.968,54.964,m6y7tx8r
PI040298AD5J214409,-7.969,54.964,6dngspdq
PI040298AD5I205808,-3.523,55.908,1x3xq9dg
PI040298AD5I206023,-3.523,55.908,180qwn62
PI040298AD5I205606,-3.523,55.908,m4f3yzem
PI040298AD5I208825,-3.422,56.577,jsb3jvr7
PI040298AD5I213680,-3.421,56.577,54d36e14
PI040298AD5J214264,-7.132,52.269,r08b80k1
PI040298AD5J214258,-7.107,52.712,afc22p53
PI040298AD5I210752,-7.107,52.712,r5me4e2g
PI040298AD5J214819,-7.968,54.964,7cp6srcv
PI040298AD5I211018,-7.968,54.964,57zw9zbq
PI040298AD5J215094,-7.969,54.964,b0revh0y
PI040298AD5I208999,-7.968,54.964,as4xdzdz
PI040298AD5J214314,-7.968,54.964,jrnj08ff
PI040298AD5I213812,-2.594,56.558,rvvfxasy
PI040307AD5I204265,-0.287,51.478,p41zmgaa
PI040298AD5I206253,-3.266,56.576,6t7spw0p
PI040298AD5I211263,-3.253,56.507,kaf9zmc1
PI040298AD5I211398,-3.251,56.506,y8vd8nmj
PI040298AD5I211189,-6.768,52.297,reg1c21y
PI040298AD5I212587,-6.768,52.297,4k3jp4yn
PI040298AD5J214325,-6.828,52.616,frjb0xyj
PI040298AD5J214376,-6.828,52.616,fra26rrd
PI040298AD5J215117,-2.764,56.727,dad7x6x1
PI040298AD5I212258,-2.782,56.713,92cpmzhb
PI040298AD5I205520,-2.78,56.714,e013vke9
PI040298AD5G203386,-2.78,56.714,1r9k4xwm
PI040298AD5I208289,-2.78,56.714,wawxxwqg
PI040298AD5I207567,-2.763,56.725,wg2afshv
PI040298AD5I206462,-2.782,56.713,n0h7yv2r
PI040298AD5G200295,-2.764,56.727,1cv1mqmr
PI040298AD5I207273,-2.764,56.727,r4qpsg3s
PI040298AD5I209326,-2.78,56.714,zsz8anmx
PI040298AD5I205669,-2.779,56.713,k08s4n1f
PI040298AD5I211520,-2.78,56.714,7x2h6kdv
PI040298AD5I207946,-2.761,56.741,2058pfcb
PI040298AD5I208953,-2.777,56.716,1yjxtks7
PI040298AD5J214631,-2.764,56.727,wfwqeydf
PI040298AD5I212184,-2.758,56.739,1f7dt96v
PI040298AD5G203941,-2.76,56.74,qf9xmqxq
PI040298AD5I210322,-2.78,56.713,xfe9g9sx
PI040298AD5I213513,-2.779,56.712,68eej1c4
PI040298AD5I212493,-6.768,52.297,5k6d8nzv
PI040298AD5I211584,-6.768,52.297,xgpvcsg4
PI040298AD5J214294,-6.768,52.297,vyp6j4y2
PI040298AD5I210966,-6.768,52.297,cx803m1k
PI040298AD5I213438,-6.767,52.297,k5hyq6ex
PI040298AD5I211206,-6.767,52.297,w49zs2qj
PI040298AD5I212957,-6.796,52.299,ge9rnzpm
PI040298AD5G202681,-6.767,52.297,zj33x6k3
PI040298AD5I211435,-6.797,52.293,4chta3h1
PI040298AD5I213329,-6.797,52.293,7ah9vfa4
PI040298AD5I212604,-6.806,52.34,m90sz8c4
PI040298AD5I211058,-6.797,52.293,8c86fzqt
PI040298AD5I211321,-6.806,52.34,p677fkhj
PI040298AD5I213026,-6.796,52.299,6nnvwcna
PI040298AD5I210844,-6.806,52.34,7f535bx5
PI040298AD5I213918,-6.768,52.297,xzbj94en
PI040298AD5I212457,-6.806,52.34,hn9bd7k8
PI040298AD5I210938,-6.806,52.34,9dyp2q2r
PI040298AD5I211430,-6.794,52.289,7yncj07b
PI040298AD5I213840,-6.797,52.293,cecpz7nk
PI040298AD5I208878,-6.852,52.859,2b6br30v
PI040298AD5I210056,-6.853,52.859,gart3z0w
PI040298AD5I212509,-6.796,52.299,c70wk8wd
PI040298AD5I210862,-6.796,52.299,gm98csn9
PI040298AD5G200803,-8.319,55.033,vaz6avcw
PI040298AD5I212605,-6.796,52.299,cwn0d0g9
PI040298AD5I211408,-6.796,52.299,acznddbt
PI040298AD5I213173,-6.796,52.299,pxx0b6e9
PI040298AD5I212965,-6.796,52.299,9ghbmcwx
PI040298AD5I211093,-6.796,52.299,vkbh6r7s
PI040298AD5I212174,-6.796,52.299,k7vg74g9
PI040298AD5I212541,-6.796,52.299,aztxvt3y
PI040298AD5I211937,-6.796,52.299,xtrmn9dm
PI040298AD5I212691,-2.762,56.731,p2azjm35
PI040298AD5I208085,-2.763,56.732,fc7sreq9
PI040298AD5I213342,-2.777,56.716,22pbfzqh
PI040298AD5J215021,-2.777,56.716,s5abdzsa
PI040298AD5I210795,-2.761,56.741,vk3gdn9c
PI040298AD5I210744,-6.796,52.299,f9awyrs6
PI040297AD5I209866,-3.68,56.395,mk3cqxjf
PI040297AD5I207143,-3.188,55.954,3qvvvyk3
PI040298AD5I211890,-2.777,56.716,6pnrfajq
PI040298AD5J214913,-6.796,52.299,zp4ysm27
PI040298AD5I211128,-6.796,52.299,feg66cpr
PI040298AD5I210987,-6.796,52.299,yqxbh68d
PI040298AD5I213300,-6.796,52.299,rgc7pn49
PI040298AD5I212964,-6.796,52.299,r731a753
PI040298AD5I211037,-6.86,52.254,vskh0pky
PI040298AD5I214121,-6.796,52.299,ta8jgsbh
PI040298AD5I212789,-6.792,52.288,a4c0hcrb
PI040298AD5I211099,-6.792,52.288,h16rx19v
PI040298AD5I213321,-6.792,52.288,9455mr6a
PI040298AD5I212276,-6.792,52.288,sj8v5az9
PI040298AD5I211415,-6.902,52.861,fan0hvnz
PI040298AD5J214633,-6.918,52.86,gs370w1q
PI040298AD5J214247,-6.917,52.86,p2gpkm6d
PI040298AD5J214924,-6.917,52.86,2rkwckmm
PI040298AD5J215124,-6.916,52.86,knhw8pka
PI040298AD5I212822,-6.915,52.86,hrvydss9
PI040298AD5J214896,-6.918,52.86,r7e71z5w
PI040298AD5J214396,-6.915,52.86,yqcq66ef
PI040298AD5J214531,-6.916,52.86,4rwxfy84
PI040298AD5J214216,-6.916,52.86,za324wnp
PI040298AD5J214961,-6.915,52.86,vqk50wq8
PI040298AD5I206808,-6.917,52.86,yc3g9r4c
PI040298AD5I213325,-6.792,52.288,eznfs01z
PI040298AD5I213615,-3.252,56.553,w218xtkk
PI040297AD5I207167,-3.252,56.552,2vsm7ghq
PI040297AD5I208864,-3.251,56.554,7jx5ys5e
PI040297AD5I207718,-3.25,56.553,f1fvxsa0
PI040297AD5I206869,-3.252,56.552,j1q7e0bx
PI040297AD5I207505,-3.25,56.553,6pf9nqnz
PI040297AD5I206745,-3.251,56.553,vbz85zpw
,-3.253,56.552,2adngvvr
PI040297AD5I210114,-3.253,56.552,945qpbj1
PI040297AD5I208670,-3.175,56.533,wxtej0fq
PI040297AD5I208159,-3.251,56.553,dx0etxs2
PI040297AD5I209387,-3.174,56.533,xe6ajzhy
PI040297AD5I209073,-3.25,56.553,w5me1bf5
PI040297AD5I206224,-3.25,56.553,ahg76dkj
PI040297AD5I206499,-3.175,56.533,dgajmkck
PI040297AD5I210057,-3.172,56.535,xd8ha6r7
PI040297AD5I206767,-3.172,56.534,3c0b12ps
PI040297AD5I207209,-3.25,56.552,yjqjwjjz
PI040297AD5I207818,-3.252,56.552,4xjxxfst
PI040298AD5I207360,-3.25,56.552,ew6pwjqv
PI040297AD5I206789,-3.249,56.552,2gbr1ahs
PI040297AD5I208200,-3.252,56.552,rnqqwc4d
PI040297AD5I210091,-3.251,56.552,9p3kjmf1
PI040297AD5I207796,-3.25,56.552,080hqhnr
PI040297AD5I208237,-3.251,56.552,0jaj6cbm
PI040297AD5I208442,-3.252,56.552,1sgr03wc
PI040298AD5I209497,-3.25,56.552,kreq25gv
PI040297AD5I209840,-3.25,56.552,x7b78k3n
PI040298AD5I207727,-3.252,56.553,88ekhknp
PI040297AD5I204725,-3.25,56.552,ym5mjyyb
PI040298AD5J214674,-7.107,52.712,yd1j0qe8
PI040298AD5G202094,-3.506,56.522,yfhxdbg5
PI040298AD5I213045,-6.902,52.862,0bva4sf4
PI040298AD5I214061,-6.901,52.862,p5y03r25
PI040298AD5G202327,-6.901,52.862,6sq7bz11
PI040298AD5I212123,-6.901,52.863,yf0sjz7n
PI040298AD5I212281,-6.901,52.862,kw6xq805
PI040298AD5I212134,-6.902,52.862,k8q2zewj
PI040298AD5I211173,-6.902,52.861,nsnk7myw
PI040298AD5I213004,-6.902,52.862,c2r92z7x
PI040298AD5I213843,-6.901,52.862,gk0rvmys
PI040298AD5I211320,-7.311,52.351,my3kk20n
PI040298AD5I211630,-7.312,52.351,78ccs58k
PI040298AD5I212606,-7.312,52.35,9zvx8xxd
PI040298AD5J214550,-7.312,52.351,ge5mh8hb
PI040298AD5I211090,-7.312,52.351,hzymds7s
PI040298AD5I213259,-7.312,52.351,w7fm3jdj
PI040298AD5I214099,-7.312,52.351,78yxtx2j
PI040298AD5I213922,-7.317,53.351,0ptxrdzm
PI040298AD5I209019,-7.111,52.713,mh0b07tj
PI040298AD5J214557,-7.111,52.713,cw2wjhyx
PI040298AD5I211419,-6.959,52.7,a9dhzqa4
PI040298AD5I212989,-6.454,52.299,xjd60n10
PI040297AD5I205980,-3.123,56.482,ge7t13kz
PI040297AD5I205473,-3.084,56.457,fvmpzzsc
PI040297AD5I209264,-3.135,56.483,924mzdh8
PI040297AD5I209633,-3.072,56.461,ps154f5r
PI040297AD5I207435,-3.122,56.48,0d3yf3kv
PI040297AD5I207440,-3.066,56.456,stns51zq
PI040297AD5I209636,-3.066,56.459,cjj5fwwf
PI040297AD5I207220,-3.111,56.482,3v2bnarm
PI040297AD5I209629,-3.063,56.455,mry9dwcb
PI040297AD5I207942,-3.083,56.457,gzp04e7c
PI040297AD5I208875,-3.066,56.456,j1pz74qv
PI040297AD5I209634,-3.064,56.454,mmx2hzye
PI040298AD5I208373,-3.423,56.578,nx2p6qcx
PI040298AD5I210715,-3.423,56.578,ztn4rdsp
PI040298AD5I213616,-3.423,56.578,cjzcxnfm
PI040298AD5I208840,-3.421,56.577,2t9ftpda
PI040298AD5I207564,-3.422,56.578,wrvmkn02
PI040298AD5I209301,-3.422,56.578,z5y944m6
PI040298AD5I211938,-7.313,52.351,71c6pcm4
PI040298AD5I210933,-7.312,52.352,8av5k4ty
PI040298AD5I212119,-7.313,52.352,7rxk7br3
PI040298AD5I213919,-7.313,52.352,q0cmy6n5
PI040298AD5I211633,-7.313,52.351,vy29f3s5
PI040298AD5I211481,-7.312,52.352,e2s4c0ft
PI040298AD5I211322,-7.313,52.351,cd8gnmmg
PI040298AD5I212100,-7.313,52.351,5va93k4x
PI040298AD5I211623,-7.313,52.352,a57vnmc7
PI040298AD5I211636,-7.312,52.351,gbsa8m7j
PI040298AD5I214009,-7.312,52.351,g2f2g4h0
PI040298AD5I211104,-7.313,52.352,bvy3gjrt
PI040298AD5I214094,-7.313,52.352,a74nzm91
PI040298AD5I211432,-7.313,52.351,ky2w078x
PI040298AD5I211101,-7.313,52.352,ks59qx5x
PI040298AD5I214006,-7.313,52.351,d0d8axvf
PI040297AA3L024395,-8.037,52.947,54ggw8ft
PI040297AA3L026026,-8.037,52.947,tw9j5w3g
PI040297AA3L024616,-8.037,52.947,th0vrpc3
PI040298AD5I206527,-3.421,56.577,sk6e5rvs
PI040298AD5I214049,-3.423,56.578,9g35kg1t
PI040298AD5I211281,-3.421,56.578,xnkjvwp1
